Eliminated Week,League,Team,Owner,Score,Cumulative Score at Elimination
2,The Only Legitimate LTS Bowl League - L3,39ers,tripp39,114.1,275.73
2,The Only Legitimate LTS Bowl League - L3,WilhelmTilt,ringular,110.11,268.62
2,The Only Legitimate LTS Bowl League - L3,Closet Poopers,coots1185,85.52,238.87
1,The Only Legitimate LTS Bowl League - L3,Greenhorns,D3M090,125.04,125.04
1,LTS Bowl - L2,DeadEndFriends,DeadEndFriends,110.69,110.69
1,LTS Bowl - L4,SLOPPY STEAKS,CommieEsq,96.46,96.46
